Date,State,Positive,Negative,Pending,Hospitalized – Currently,Hospitalized – Cumulative,In ICU – Currently,In ICU – Cumulative,On Ventilator – Currently,On Ventilator – Cumulative,Recovered,Deaths,Last Update ET,Test Column
20200725,AK,"2,868","202,198",,38,,,,2,,815,20,4/21 15:00,1
20200725,AL,"78,130","563,481",,"1,425","9,157",,1069,,567,32510,1456,4/22 15:00,2
20200725,AR,"37,249","424,215",,497,"2,361",,,109,329,29827,394,4/23 15:00,3
20200725,AS,0,"1,037",,,,,,,,,0,4/24 15:00,4
20200725,AZ,"160,041","697,568",,"2,758","7,627",842,,594,,20566,3286,4/25 15:00,5
20200725,CA,"445,400","6,601,955",,"8,820",,"2,284",,,,,8337,4/26 15:00,6
20200725,CO,"42,980","436,764",,357,"6,227",,,,,5133,1661,4/27 15:00,7
20200725,CT,"48,776","664,296",,71,"10,712",,,,,8516,4413,4/28 15:00,8
20200725,DC,"11,717","157,292",,97,,28,,9,,9603,581,4/29 15:00,9
20200725,DE,"14,175","152,747",,55,,11,,,,7961,579,4/30 15:00,10
20200725,FL,"414,511","2,921,866","2,850","9,035","24,086",,,,,,5894,5/1 15:00,11
20200725,GA,"165,188","1,242,652",,"3,094","17,029",,3158,,,,3495,5/2 15:00,12
20200725,GU,337,"19,695",,1,,,,,,244,5,5/3 15:00,13
20200725,HI,"1,549","111,241",,29,156,,,,,1148,26,5/4 15:00,14
20200725,IA,"41,671","404,592",,220,,72,,28,,29477,826,5/5 15:00,15
20200725,ID,"17,264","146,176",,204,709,45,210,,,5251,144,5/6 15:00,16
20200725,IL,"171,125","2,300,840",,"1,438",,341,,110,,,7589,5/7 15:00,17
20200725,IN,"61,520","628,754",,824,"8,180",281,1736,63,,43535,2895,5/8 15:00,18
20200725,KS,"25,109","252,858",,315,"1,596",98,459,24,166,1077,326,5/9 15:00,19
20200725,KY,"26,764","514,819",,595,"3,266",132,1126,,,7421,696,5/10 15:00,20
20200725,LA,"103,734","1,095,992",,"1,600",,,,197,,61456,3715,5/11 15:00,21
20200725,MA,"115,268","995,615",,371,"11,813",50,,27,,96452,8510,5/12 15:00,22
20200725,MD,"83,054","742,272",,545,"12,188",157,,,,5434,3433,5/13 15:00,23
20200725,ME,"3,790","149,583",,11,379,8,,2,,3281,119,5/14 15:00,24
20200725,MI,"85,072","1,529,574",,751,,215,,113,,55162,6400,5/15 15:00,25
20200725,MN,"50,291","890,405",,287,"4,889",115,1440,,,43625,1611,5/16 15:00,26
20200725,MO,"40,709","579,012",,"1,057",,,,159,,,1182,5/17 15:00,27
20200725,MP,39,"11,300",,,4,,,,,29,2,5/18 15:00,28
20200725,MS,"51,097","370,789",,"1,172","3,982",295,,159,,30315,1480,5/19 15:00,29
20200725,MT,"3,260","147,755",,59,195,,,,,1977,46,5/20 15:00,30
20200725,NC,"111,092","1,467,950",,"1,168",,362,,,,78707,1778,5/21 15:00,31
20200725,ND,"5,736","138,524",,39,328,,,,,4671,91,5/22 15:00,32
20200725,NE,"24,174","228,431",,122,"1,548",,,,,17999,316,5/23 15:00,33
20200725,NH,"6,415","145,875",,27,686,,200,,,5438,409,5/24 15:00,34
