Date,States,Positive,Negative,Pending,Hospitalized – Currently,Hospitalized – Cumulative,In ICU – Currently,In ICU – Cumulative,On Ventilator – Currently,On Ventilator – Cumulative,Recovered,Deaths
20200725,56,"4,158,341","46,477,342","3,377","59,227","291,347","10,380","13,279","2,729","1,300","1,279,414","138,692"
20200724,56,"4,092,928","45,745,166","3,409","59,670","289,355","10,405","13,182","2,712","1,297","1,261,624","137,655"
20200723,56,"4,017,735","44,890,521","3,179","59,885","286,329","10,418","12,933","2,472","1,280","1,233,269","136,477"
20200722,56,"3,946,708","44,137,149","3,051","59,675","283,829","10,457","12,790","2,440","1,258","1,210,849","135,438"
20200721,56,"3,877,558","43,410,797","3,197","59,362","281,581","6,711","12,629","2,414","1,242","1,182,931","134,321"
20200720,56,"3,813,916","42,724,191","3,003","58,371","279,030","6,558","12,475","2,403","1,223","1,160,087","133,283"
20200719,56,"3,756,945","42,070,147","3,052","57,885","277,383","6,384","12,393","2,362","1,216","1,131,171","132,921"
20200718,56,"3,692,061","41,336,523","3,032","57,645","276,439","6,396","12,342","2,343","1,211","1,122,720","132,395"
20200717,56,"3,626,881","40,640,071","3,002","57,761","274,436","6,453","12,243","2,353","1,200","1,106,844","131,523"
20200716,56,"3,549,648","39,879,912","2,929","57,442","271,758","6,359","12,091","2,317","1,175","1,090,645","130,572"
20200715,56,"3,478,695","39,123,301","2,947","56,144","269,543","6,317","12,002","2,317","1,166","1,075,882","129,598"
20200714,56,"3,413,313","38,426,686",960,"55,565","267,127","6,235","11,857","2,263","1,154","1,049,098","128,740"
20200713,56,"3,350,434","37,719,583","2,610","53,988","264,865","6,074","11,749","2,259","1,142","1,031,939","128,004"
20200712,56,"3,291,969","37,084,472","2,639","52,727","263,651","5,930","11,679","2,182","1,136","1,006,326","127,677"
20200711,56,"3,230,991","36,387,126","2,618","51,859","262,712","5,939","11,612","2,169","1,128","995,576","127,201"
20200710,56,"3,167,984","35,751,689","2,493","51,595","257,571","5,896","11,523","2,197","1,118","983,185","126,444"
20200709,56,"3,101,339","35,007,528","2,530","43,934","255,253","5,845","11,370","2,127","1,138","969,111","125,590"
20200708,56,"3,042,503","34,363,314","2,360","43,078","253,534","5,874","11,303","2,172","1,103","953,420","124,723"
20200707,56,"2,980,356","33,796,359","2,136","41,760","251,499","5,832","11,177","2,098","1,084","936,476","123,826"
20200706,56,"2,928,590","33,213,334","1,907","39,768","249,539","5,684","11,058","2,105","1,070","924,148","122,904"
20200705,56,"2,886,990","32,753,733","1,885","38,764","248,745","5,653","11,010","2,080","1,064","902,558","122,662"
20200704,56,"2,841,201","32,118,072","2,083","38,146","248,155","5,633","10,977","1,982","1,063","894,325","122,453"
20200703,56,"2,786,467","31,530,635","2,237","37,798","247,284","5,597","10,936","2,049","1,059","883,561","122,147"
20200702,56,"2,732,244","30,873,909","2,208","37,500","245,849","5,626","10,843","2,105","1,041","875,127","121,550"
20200701,56,"2,678,418","30,265,419","2,604","36,405","243,846","5,512","10,752","2,098","1,027","823,151","120,853"
